title,company,location,description,redirect_url,salary_min,salary_max,created
Senior Analytics Manager VP,Harnham - Data & Analytics Recruitment,"Glasgow City Centre, Glasgow","Glasgow - Hybrid (2 Days Per Week in Office) VP Salary: £80K-£95K (Up to £110K for Top Candidates) ABOUT THE COMPANY A major financial institution is growing, a 250 member team working across risk, marketing, and product analytics. This team operates as an internal consultancy , delivering insight-driven strategies to support commercial growth. THE ROLE These roles focus on customer analytics, risk modelling, pricing strategy, and marketing optimisation , directly impacting key business areas. …",https://www.adzuna.co.uk/jobs/details/5087073649?utm_medium=api&utm_source=9b195f40,80000,110000,2025-03-11T13:38:46Z
Senior Analytics Manager AVP,Harnham - Data & Analytics Recruitment,"Glasgow City Centre, Glasgow","Glasgow - Hybrid (2 Days Per Week in Office) AVP Salary: £55K - 65K (Up to £110K for Top Candidates) ABOUT THE COMPANY A major financial institution is growing , a 250 member team working across risk, marketing, and product analytics. This team operates as an internal consultancy , delivering insight-driven strategies to support commercial growth. THE ROLE These roles focus on customer analytics, risk modelling, pricing strategy, and marketing optimisation , directly impacting key business area…",https://www.adzuna.co.uk/jobs/details/5087072315?utm_medium=api&utm_source=9b195f40,55000,65000,2025-03-11T13:38:35Z
Python Software Engineer III,JPMorganChase,"Glasgow City Centre, Glasgow","Description We have an exciting and rewarding opportunity for you to take your software engineering career to the next level. As a Software Engineer III at JPMorgan Chase within Cross Risk Calculation Technology, you serve as a seasoned member of an agile team to design and deliver trusted market-leading technology products using Python in a secure, stable, and scalable way. You are responsible for carrying out critical technology solutions across multiple technical areas within various busines…",https://www.adzuna.co.uk/jobs/details/5029800113?utm_medium=api&utm_source=9b195f40,57483.01,57483.01,2025-01-30T14:35:06Z
Data Analytics - Modern Apprenticeship,Scottish Qualifications Authority,"Hillhead, Glasgow City Centre","The Scottish Qualifications Authority (SQA) is Scotlandâs national awarding and accreditation body. We are trusted to oversee thousands of qualifications that are available in schools, colleges, and workplaces, not just in Scotland, but around the world.\n\nWe are committed to providing high-quality modern apprenticeship opportunities and giving Scotlandâs young people the chance to earn and learn, while working towards valuable vocational qualifications. Whether applicants are seeking to b…",https://www.adzuna.co.uk/jobs/details/5098675812?utm_medium=api&utm_source=9b195f40,24108,24108,2025-03-18T11:41:09Z
"Principal Software Engineer - Planning & Analysis (Python, AWS, Financial Modelling)",260312-South Florida Region Admin,"Glasgow City Centre, Glasgow","Description If you are looking for a game-changing career, working for one of the world's leading financial institutions, you’ve come to the right place. As a Principal Software Engineer at JPMorgan Chase within the Planning & Analysis team, you provide expertise and engineering excellence as an integral part of an agile team to enhance, build, and deliver trusted market-leading technology products in a secure, stable, and scalable way. Leverage your advanced technical capabilities and collabor…",https://www.adzuna.co.uk/jobs/details/5015676531?utm_medium=api&utm_source=9b195f40,89423.29,89423.29,2025-01-18T12:31:55Z
Principal Architect - AI/ML & Data Platforms,JPMorganChase,"Glasgow City Centre, Glasgow","Description As a Principal Architect at JPMorgan Chase within the Enterprise Technology, AI/ML & Data Platforms organisation you provide expertise to enhance and develop architecture platforms based on modern cloud-based technologies, as well as support the adoption of strategic global solutions. Leverage your advanced architecture capabilities and collaborate with colleagues across the organization to drive best-in-class outcomes. Our team delivers comprehensive data management solutions for m…",https://www.adzuna.co.uk/jobs/details/4949626433?utm_medium=api&utm_source=9b195f40,71505.95,71505.95,2024-11-24T10:55:38Z
Principal Architect,J.P. Morgan,"Glasgow City Centre, Glasgow","Description As a Principal Architect at JPMorgan Chase within the Enterprise Technology, AI/ML & Data Platforms organisation you provide expertise to enhance and develop architecture platforms based on modern cloud-based technologies, as well as support the adoption of strategic global solutions. Leverage your advanced architecture capabilities and collaborate with colleagues across the organization to drive best-in-class outcomes. Our team delivers comprehensive data management solutions for m…",https://www.adzuna.co.uk/jobs/details/5036487768?utm_medium=api&utm_source=9b195f40,77640.3,77640.3,2025-02-04T13:24:14Z
Data Analyst,UNIVERSITY OF GLASGOW,"Hillhead, Glasgow City Centre","Job details Posted 10 February 2025 Salary Grade 7, £40,247 - £45,163 per annum End date 10 March 2025 LocationGlasgow Job Family Management Professional & Administrative Reference163772 Job description Job Purpose Planning, Insight and Analytics are seeking two exceptional Data Analysts to join our hard-working, supportive and friendly Data Analytics team. We have two vacancies available: one full-time permanent role focused on admissions data and student numbers' forecasts, and one full-time …",https://www.adzuna.co.uk/jobs/details/5047236104?utm_medium=api&utm_source=9b195f40,41280.49,41280.49,2025-02-12T14:06:35Z
"Applied AI ML Director (Python, NLP, LLMs) - International Private Bank",144780-Payments Us,"Glasgow City Centre, Glasgow","Description We’re looking for a tech leader ready to take their career to new heights. Join the ranks of top talent at one of the world’s most influential companies. As an Applied AI ML Director at JPMorgan Chase within the International Private Bank (IPB) Technology Artificial Intelligence and Machine Learning (AIML) Team, you provide deep engineering expertise and work across agile teams to enhance, build, and deliver trusted market-leading technology products in a secure, stable, and scalabl…",https://www.adzuna.co.uk/jobs/details/5034490922?utm_medium=api&utm_source=9b195f40,75022.69,75022.69,2025-02-02T16:13:01Z
Data Engineer,Sword Group,"Glasgow, Scotland","Sword is a leading provider of business technology solutions within the Energy, Public and Finance Sectors, driving transformational change within our clients. We use proven technology, specialist teams and domain expertise to build solid technical foundations across platforms, data, and business applications. We have a passion for using technology to solve business problems, working in partnership with our clients to help in achieving their goals. About the role: As a Data Engineer, you’ll pla…",https://www.adzuna.co.uk/jobs/details/5104894999?utm_medium=api&utm_source=9b195f40,52386.62,52386.62,2025-03-21T16:07:03Z
Software Engineer III - Python Developer,JPMorganChase,"Glasgow City Centre, Glasgow","Description We have an exciting and rewarding opportunity for you to take your software engineering career to the next level. As a Python Software Engineer III at JPMorgan Chase within the Data Management product area of Asset and Wealth Management, you serve as a seasoned member of an agile team to design and deliver trusted market-leading technology products in a secure, stable, and scalable way. You are responsible for carrying out critical technology solutions across multiple technical area…",https://www.adzuna.co.uk/jobs/details/5080756451?utm_medium=api&utm_source=9b195f40,60202.45,60202.45,2025-03-07T12:09:58Z
Apprenticeship - Data Analytics,Scottish Qualifications Authority,"Glasgow, Scotland","The Scottish Qualifications Authority (SQA) is Scotland's national awarding and accreditation body. We are trusted to oversee thousands of qualifications that are available in schools, colleges, and workplaces, not just in Scotland, but around the world. We are committed to providing high-quality modern apprenticeship opportunities and giving Scotland's young people the chance to earn and learn, while working towards valuable vocational qualifications. Whether applicants are seeking to build on…",https://www.adzuna.co.uk/jobs/details/5075984978?utm_medium=api&utm_source=9b195f40,29865.25,29865.25,2025-03-05T02:44:53Z
Data Engineer,LendInvest,"Hillhead, Glasgow City Centre","LendInvest is the UK’s leading FinTech platform for property finance. Over the past 17 years, we have grown from just our two founders to a team of over 200 working to make property finance simple for everyone. A workplace culture built around trying new things, getting things done, and having fun while we do it has helped us lend more than £7.5 billion of mortgages, put thousands of new or improved homes into the UK housing market, and successfully launch on the London Stock Exchange. We have …",https://www.adzuna.co.uk/jobs/details/5115330275?utm_medium=api&utm_source=9b195f40,50272.55,50272.55,2025-03-28T06:03:52Z
Data Engineer,Sword Group,"Glasgow, Scotland","Sword is a leading provider of business technology solutions within the Energy, Public and Finance Sectors, driving transformational change within our clients. We use proven technology, specialist teams and domain expertise to build solid technical foundations across platforms, data, and business applications. We have a passion for using technology to solve business problems, working in partnership with our clients to help in achieving their goals. Join our dynamic team as a Data Engineer and b…",https://www.adzuna.co.uk/jobs/details/5099292752?utm_medium=api&utm_source=9b195f40,39524.68,39524.68,2025-03-18T18:53:00Z
